pm2_5,pm10,no2,o3,so2,co,temperature,humidity,wind_speed,aqi
12,28,6,55,2,170,34,59,2.5,46
20,42,12,62,4,210,33,65,2.0,68
35,70,25,75,8,300,32,70,1.8,105
55,110,45,90,15,420,31,75,1.2,165
75,160,70,110,22,550,30,80,0.9,220
100,210,95,130,30,700,29,82,0.7,280
130,260,120,150,40,850,28,85,0.5,340
170,330,160,180,55,1000,27,88,0.4,410
8,20,4,45,1,130,35,50,4.5,35
25,50,15,65,5,240,34,60,3.5,78
45,90,35,85,10,360,32,68,2.5,130
65,130,55,100,18,480,30,76,1.5,190
90,190,85,120,27,620,29,81,1.0,250
120,240,110,140,35,780,28,84,0.6,315
150,300,145,165,48,920,27,87,0.4,380
